1687463365.959		45686	150	32	45450	54	45452	26	366	0	200
1687463366.893		93782	298	85	93337	62	93342	26	366	0	200
1687463367.726		131970	319	92	131402	157	131402	26	366	0	200
1687463368.481		124363	327	94	123777	165	123776	26	366	0	200
1687463369.181		126315	315	92	125809	99	125813	26	366	0	200
1687463369.834		74917	329	76	74442	70	74450	26	366	0	200
1687463370.447		43950	94	25	43771	60	43770	26	366	0	200
1687463371.030		70862	302	77	70440	43	70447	26	366	0	200
1687463371.586		87710	315	102	87234	59	87244	26	366	0	200
1687463372.115		83673	305	78	83222	68	83227	26	366	0	200
1687463372.625		79559	278	70	79139	72	79144	26	366	0	200
1687463373.116		42575	86	36	42399	54	42396	26	366	0	200
1687463373.590		43215	99	23	43035	58	43034	26	366	0	200
1687463374.050		43307	96	24	43116	71	43112	26	366	0	200
1687463374.495		72182	264	73	71774	71	71782	26	366	0	200
1687463374.928		76137	162	38	75890	47	75890	26	366	0	200
1687463375.347		66490	261	74	66098	57	66105	26	366	0	200
1687463375.758		58571	292	75	58146	58	58153	26	366	0	200
1687463376.158		49591	311	79	49141	60	49148	26	366	0	200
1687463376.548		42927	89	55	42735	48	42732	26	366	0	200
1687463376.931		79767	299	80	79334	54	79341	26	366	0	200
1687463377.305		69527	291	76	69104	56	69109	26	366	0	200
1687463377.672		80663	302	78	80221	62	80230	26	366	0	200
1687463378.030		71014	296	76	70595	47	70601	26	366	0	200
1687463378.383		46390	210	51	46074	55	46076	26	366	0	200
1687463378.729		42287	108	24	42091	64	42089	26	366	0	200
1687463379.069		84196	306	106	83714	70	83725	26	366	0	200
1687463379.403		53153	66	56	52984	47	52982	26	366	0	200
1687463379.731		74511	306	78	74074	53	74080	26	366	0	200
1687463380.056		42461	123	46	42232	60	42229	26	366	0	200
1687463380.374		134231	302	78	133702	149	133701	26	366	0	200
1687463380.688		132930	295	79	132397	159	132396	26	366	0	200
1687463380.997		137158	296	101	136601	160	136601	26	366	0	200
1687463381.303		137591	303	79	137065	144	137063	26	366	0	200
1687463381.603		51812	128	30	51599	55	51598	26	366	0	200
1687463381.901		135963	297	78	135408	180	135408	26	366	0	200
1687463382.193		127889	292	75	127367	155	127364	26	366	0	200
1687463382.483		44933	87	35	44738	73	44735	26	366	0	200
1687463382.769		142023	302	78	141509	134	141509	26	366	0	200
1687463383.051		127417	274	68	126928	147	126919	26	366	0	200
1687463383.330		124879	303	80	124350	146	124349	26	366	0	200
1687463383.605		130117	295	75	129590	157	129590	26	366	0	200
1687463383.877		127117	307	106	126546	158	126548	26	366	0	200
1687463384.148		126111	310	106	125570	125	125572	26	366	0	200
1687463384.415		62381	200	56	62052	73	62055	26	366	0	200
1687463384.679		76593	301	74	76170	48	76177	26	366	0	200
1687463384.940		137568	293	80	137036	159	137037	26	366	0	200
1687463385.198		128701	299	77	128175	150	128174	26	366	0	200
1687463385.455		133190	237	60	132841	52	132846	26	366	0	200
1687463385.708		124772	302	76	124223	171	124222	26	366	0	200
1687463385.959		136319	304	77	135810	128	135808	26	366	0	200
1687463386.207		127509	374	108	126890	137	126893	26	366	0	200
1687463386.455		43163	158	22	42924	59	42922	26	366	0	200
1687463386.699		127056	268	70	126571	147	126571	26	366	0	200
1687463386.940		137949	291	101	137384	173	137385	26	366	0	200
1687463387.181		45284	121	37	45070	56	45066	26	366	0	200
1687463387.420		43582	118	26	43372	66	43370	26	366	0	200
1687463387.656		81400	301	77	80968	54	80976	26	366	0	200
1687463387.889		136338	301	76	135819	142	135819	26	366	0	200
1687463388.122		53131	244	67	52747	73	52751	26	366	0	200
1687463388.351		48501	225	48	48174	54	48175	26	366	0	200
1687463388.580		53598	105	28	53406	59	53406	26	366	0	200
1687463388.806		61399	303	79	60945	72	60953	26	366	0	200
1687463389.032		55754	279	72	55347	56	55353	26	366	0	200
1687463389.255		134134	308	79	133592	155	133590	26	366	0	200
1687463389.477		135066	257	68	134624	117	134625	26	366	0	200
1687463389.698		129205	303	105	128645	152	128647	26	366	0	200
1687463389.915		134567	269	101	134052	145	134051	26	366	0	200
1687463390.133		128775	295	75	128286	119	128285	26	366	0	200
1687463390.348		127094	275	85	126669	65	126678	26	366	0	200
1687463390.561		111352	179	32	110988	153	110978	26	366	0	200
1687463390.775		126782	297	104	126211	170	126212	26	366	0	200
1687463390.985		130475	306	78	129933	158	129926	26	366	0	200
1687463391.195		130495	307	77	129994	117	129994	26	366	0	200
1687463391.403		161007	266	72	160560	109	160564	26	366	0	200
1687463391.611		127611	299	78	127077	157	127074	26	366	0	200
1687463391.815		137919	297	79	137375	168	137374	26	366	0	200
1687463392.020		51329	155	36	51074	64	51074	26	366	0	200
1687463392.223		45286	104	22	45104	56	45100	26	366	0	200
1687463392.426		134872	207	48	134433	184	134424	26	366	0	200
1687463392.625		93440	303	74	93015	48	93022	26	366	0	200
1687463392.825		42052	78	16	41891	67	41887	26	366	0	200
1687463393.024		42581	118	23	42379	61	42376	26	366	0	200
1687463393.221		129743	255	71	129295	122	129294	26	366	0	200
1687463393.416		44581	112	25	44367	77	44365	26	366	0	200
1687463393.611		43870	116	21	43682	51	43679	26	366	0	200
1687463393.804		84462	241	76	84071	74	84077	26	366	0	200
1687463393.998		45269	101	34	45078	56	45075	26	366	0	200
1687463394.190		42166	67	32	42014	53	42010	26	366	0	200
1687463394.379		162407	300	72	161902	133	161900	26	366	0	200
1687463394.569		50824	177	65	50530	52	50532	26	366	0	200
1687463394.758		42524	118	16	42329	61	42327	26	366	0	200
1687463394.945		50023	389	101	49478	55	49486	26	366	0	200
1687463395.131		112456	176	42	112098	140	112092	26	366	0	200
1687463395.318		135517	297	76	135009	135	135010	26	366	0	200
1687463395.502		141634	295	77	141134	128	141132	26	366	0	200
1687463395.686		126824	300	76	126262	186	126261	26	366	0	200
1687463395.868		106646	303	84	106187	72	106196	26	366	0	200
1687463396.049		45585	106	18	45393	68	45390	26	366	0	200
1687463396.231		43521	75	17	43371	58	43367	26	366	0	200
1687463396.411		45692	107	26	45515	44	45514	26	366	0	200
1687463396.589		42577	136	23	42344	74	42342	26	366	0	200
1687463396.768		42661	135	54	42395	77	42392	26	366	0	200
1687463396.946		84318	310	79	83877	52	83885	26	366	0	200
