1687465212.337		8518	116	33	8289	80	8294	32	27164	0	200
1687465212.346		6539	76	27	6358	78	6356	32	27164	0	200
1687465212.356		6485	77	33	6296	79	6295	32	27164	0	200
1687465212.366		7025	129	36	6767	93	6764	32	27164	0	200
1687465212.376		6793	93	35	6602	63	6601	32	27164	0	200
1687465212.385		5875	80	26	5691	78	5692	32	27164	0	200
1687465212.396		7246	108	52	7026	60	7023	32	27164	0	200
1687465212.406		7049	85	24	6879	61	6880	32	27164	0	200
1687465212.416		7073	104	23	6872	74	6872	32	27164	0	200
1687465212.426		7047	71	34	6860	82	6860	32	27164	0	200
1687465212.436		6575	78	34	6404	59	6404	32	27164	0	200
1687465212.446		8048	86	26	7844	92	7844	32	27164	0	200
1687465212.454		6990	75	21	6812	82	6811	32	27164	0	200
1687465212.465		6206	65	18	6056	67	6054	32	27164	0	200
1687465212.475		6427	71	32	6267	57	6264	32	27164	0	200
1687465212.485		6527	77	19	6377	54	6375	32	27164	0	200
1687465212.495		7048	91	36	6861	60	6860	32	27164	0	200
1687465212.504		7252	86	25	7075	66	7072	32	27164	0	200
1687465212.514		6499	84	19	6338	58	6339	32	27164	0	200
1687465212.524		7062	98	31	6875	58	6876	32	27164	0	200
1687465212.534		7719	85	30	7541	63	7540	32	27164	0	200
1687465212.542		6915	72	21	6766	56	6766	32	27164	0	200
1687465212.552		6450	61	34	6301	54	6300	32	27164	0	200
1687465212.563		6804	88	35	6625	56	6625	32	27164	0	200
1687465212.572		7054	78	20	6899	57	6897	32	27164	0	200
1687465212.582		6660	92	21	6483	64	6482	32	27164	0	200
1687465212.592		7040	93	34	6852	61	6850	32	27164	0	200
1687465212.601		6252	91	19	6089	53	6089	32	27164	0	200
1687465212.611		6963	65	20	6792	86	6791	32	27164	0	200
1687465212.619		7340	76	39	7152	73	7151	32	27164	0	200
1687465212.629		6809	97	19	6638	55	6637	32	27164	0	200
1687465212.639		7056	67	37	6877	75	6876	32	27164	0	200
1687465212.649		6577	100	37	6382	58	6382	32	27164	0	200
1687465212.659		7253	61	33	7074	85	7072	32	27164	0	200
1687465212.668		7391	77	22	7220	72	7219	32	27164	0	200
1687465212.678		6653	78	34	6441	100	6441	32	27164	0	200
1687465212.687		7353	76	22	7173	82	7173	32	27164	0	200
1687465212.697		7038	63	34	6889	52	6889	32	27164	0	200
1687465212.706		6433	80	24	6264	65	6264	32	27164	0	200
1687465212.715		7900	74	37	7713	76	7712	32	27164	0	200
1687465212.725		6793	90	24	6616	63	6613	32	27164	0	200
1687465212.734		6955	104	19	6766	66	6766	32	27164	0	200
1687465212.743		6412	81	21	6246	64	6245	32	27164	0	200
1687465212.753		6971	80	21	6813	57	6813	32	27164	0	200
1687465212.762		6614	75	22	6462	55	6460	32	27164	0	200
1687465212.772		6853	87	28	6685	53	6684	32	27164	0	200
1687465212.782		7033	52	35	6862	84	6861	32	27164	0	200
1687465212.790		6745	77	26	6579	63	6578	32	27164	0	200
1687465212.800		6381	75	21	6229	56	6228	32	27164	0	200
1687465212.809		7464	68	20	7318	58	7316	32	27164	0	200
1687465212.819		6471	64	20	6334	53	6333	32	27164	0	200
1687465212.828		7349	80	22	7164	83	7166	32	27164	0	200
1687465212.838		10096	90	40	9875	91	9903	32	27164	0	200
1687465212.847		8707	125	29	8462	91	8461	32	27164	0	200
1687465212.856		7077	102	30	6885	60	6885	32	27164	0	200
1687465212.865		6428	72	20	6277	59	6261	32	27164	0	200
1687465212.875		7161	69	34	7006	52	7005	32	27164	0	200
1687465212.884		7496	89	38	7309	60	7308	32	27164	0	200
1687465212.893		6793	81	23	6628	61	6627	32	27164	0	200
1687465212.902		7226	74	21	7056	75	7054	32	27164	0	200
1687465212.912		6769	67	21	6608	73	6607	32	27164	0	200
1687465212.921		6897	75	22	6725	75	6726	32	27164	0	200
1687465212.930		6433	65	27	6270	71	6270	32	27164	0	200
1687465212.939		7839	96	37	7629	77	7628	32	27164	0	200
1687465212.948		8005	75	25	7838	67	7836	32	27164	0	200
1687465212.958		6409	80	22	6246	61	6246	32	27164	0	200
1687465212.966		6894	83	37	6712	62	6710	32	27164	0	200
1687465212.976		7059	98	21	6877	63	6875	32	27164	0	200
1687465212.984		6152	88	24	5956	84	5957	32	27164	0	200
1687465212.994		6472	76	22	6312	62	6312	32	27164	0	200
1687465213.003		6920	71	19	6750	80	6750	32	27164	0	200
1687465213.012		6583	75	21	6427	60	6426	32	27164	0	200
1687465213.021		7383	67	36	7221	59	7219	32	27164	0	200
1687465213.030		6612	121	23	6409	59	6408	32	27164	0	200
